example_id                                                               | status  | run_time        |
./spec/gimmecar/services/admin/location/driver/search_spec.rb[1:1:1]     | passed  | 0.02944 seconds |
./spec/gimmecar/services/admin/location/driver/search_spec.rb[1:1:2]     | passed  | 0.02024 seconds |
./spec/gimmecar/services/command/location/metrics_spec.rb[1:1:1]         | passed  | 0.23222 seconds |
./spec/gimmecar/services/command/vehicle/revenue_spec.rb[1:1:1]          | passed  | 0.07138 seconds |
./spec/gimmecar/services/rates_spec.rb[1:1:1]                            | passed  | 0.01344 seconds |
./spec/gimmecar/services/rates_spec.rb[1:1:2:1]                          | passed  | 0.01231 seconds |
./spec/lib/core_ext/date_spec.rb[1:1:1]                                  | passed  | 0.0007 seconds  |
./spec/lib/core_ext/date_spec.rb[1:1:2]                                  | passed  | 0.0006 seconds  |
./spec/lib/core_ext/date_spec.rb[1:1:3]                                  | passed  | 0.00055 seconds |
./spec/lib/core_ext/date_spec.rb[1:2:1]                                  | passed  | 0.00058 seconds |
./spec/lib/core_ext/date_spec.rb[1:2:2]                                  | passed  | 0.00051 seconds |
./spec/lib/core_ext/date_spec.rb[1:2:3]                                  | passed  | 0.00054 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:1]                  | passed  | 0.00263 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:2]                  | passed  | 0.00292 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:3]                  | passed  | 0.00332 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:4]                  | passed  | 0.00239 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:5]                  | passed  | 0.00221 seconds |
./spec/lib/validators/after_date_validator_spec.rb[1:6]                  | passed  | 0.00233 seconds |
./spec/models/charge_spec.rb[1:1:1]                                      | passed  | 2.01 seconds    |
./spec/models/charge_spec.rb[1:1:2]                                      | passed  | 1.02 seconds    |
./spec/models/charge_spec.rb[1:1:3]                                      | passed  | 1.83 seconds    |
./spec/models/driver_spec.rb[1:1:1]                                      | passed  | 0.0198 seconds  |
./spec/models/driver_spec.rb[1:1:2]                                      | passed  | 0.02581 seconds |
./spec/models/driver_spec.rb[1:1:3]                                      | passed  | 0.00859 seconds |
./spec/models/driver_spec.rb[1:2:1]                                      | passed  | 0.0091 seconds  |
./spec/models/driver_spec.rb[1:3:1]                                      | passed  | 0.02315 seconds |
